,Tesla,Nio,Rivian,Lucid Motors,Ford,General Motors,Interest Rate,CCI,Oil Prices,CPI
2022-04-21,336.260009765625,17.149999618530273,33.7599983215332,19.549999237060547,13.10124397277832,39.77446365356445,0.94940027,107.3,103.79,6.92388263628694
2022-04-22,335.01666259765625,17.18000030517578,33.61000061035156,19.110000610351562,12.625594139099121,38.92445755004883,0.94940027,107.3,102.07,6.92388263628694
2022-04-25,332.67333984375,17.309999465942383,33.900001525878906,19.329999923706055,12.759997367858887,38.9049186706543,0.94940027,107.3,98.54,6.92388263628694
2022-04-26,292.1400146484375,16.360000610351562,30.68000030517578,17.639999389648438,12.356786727905273,37.16581726074219,0.94940027,107.3,101.7,6.92388263628694
2022-04-27,293.836669921875,16.760000228881836,31.219999313354492,18.06999969482422,12.474390983581543,37.77157211303711,0.94940027,107.3,102.02,6.92388263628694
2022-04-28,292.5033264160156,16.93000030517578,32.18000030517578,18.889999389648438,12.281184196472168,37.859500885009766,0.94940027,107.3,105.36,6.92388263628694
2022-04-29,290.2533264160156,16.700000762939453,30.239999771118164,18.079999923706055,11.894771575927734,37.03881072998047,0.94940027,107.3,104.69,6.92388263628694
2022-05-02,300.9800109863281,17.5,31.739999771118164,19.059999465942383,11.987174034118652,37.5663948059082,1.20389776,106.4,105.17,7.588878771024411
2022-05-03,303.0833435058594,17.530000686645508,31.989999771118164,19.600000381469727,12.230782508850098,39.02215576171875,1.20389776,106.4,102.41,7.588878771024411
2022-05-04,317.5400085449219,18.1299991607666,33.91999816894531,20.260000228881836,12.583592414855957,40.2238883972168,1.20389776,106.4,107.81,7.588878771024411
2022-05-05,291.09332275390625,15.380000114440918,30.709999084472656,18.850000381469727,12.205580711364746,39.031925201416016,1.20389776,106.4,108.26,7.588878771024411
2022-05-06,288.54998779296875,14.920000076293945,28.790000915527344,18.149999618530273,11.936774253845215,38.67043685913086,1.20389776,106.4,109.77,7.588878771024411
2022-05-09,262.3699951171875,13.550000190734863,22.780000686645508,16.350000381469727,11.23115062713623,37.38076400756836,1.20389776,106.4,103.09,7.588878771024411
2022-05-10,266.67999267578125,13.4399995803833,22.790000915527344,15.949999809265137,11.214350700378418,37.81065368652344,1.20389776,106.4,99.76,7.588878771024411
2022-05-11,244.6666717529297,12.710000038146973,20.600000381469727,13.859999656677246,10.777536392211914,36.413516998291016,1.20389776,106.4,105.71,7.588878771024411
2022-05-12,242.6666717529297,13.100000381469727,24.299999237060547,15.6899995803833,10.44992733001709,34.742820739746094,1.20389776,106.4,106.13,7.588878771024411
2022-05-13,256.5299987792969,14.3100004196167,26.700000762939453,18.010000228881836,11.340353965759277,37.331912994384766,1.20389776,106.4,110.49,7.588878771024411
2022-05-16,241.4566650390625,14.550000190734863,24.860000610351562,17.360000610351562,10.962342262268066,36.24742126464844,1.20389776,106.4,114.2,7.588878771024411
2022-05-17,253.8699951171875,16.6299991607666,27.489999771118164,17.850000381469727,11.365554809570312,37.22444534301758,1.20389776,106.4,111.846,7.588878771024411
2022-05-18,236.60333251953125,15.829999923706055,27.290000915527344,17.360000610351562,10.735535621643066,35.00661087036133,1.20389776,106.4,108.57,7.588878771024411
2022-05-19,236.47332763671875,16.65999984741211,29.610000610351562,19.270000457763672,10.794337272644043,35.28994369506836,1.20389776,106.4,110.818,7.588878771024411
2022-05-20,221.3000030517578,16.440000534057617,28.920000076293945,18.389999389648438,10.50032901763916,34.586490631103516,1.20389776,106.4,110.87,7.588878771024411
2022-05-23,224.96665954589844,16.0,27.989999771118164,18.399999618530273,10.777536392211914,35.17270278930664,1.20389776,106.4,110.29,7.588878771024411
2022-05-24,209.3866729736328,14.630000114440918,26.530000686645508,17.100000381469727,10.433127403259277,34.40085983276367,1.20389776,106.4,109.77,7.588878771024411
2022-05-25,219.60000610351562,14.640000343322754,27.25,17.450000762939453,10.676733016967773,35.15315628051758,1.20389776,106.4,110.33,7.588878771024411
2022-05-26,235.91000366210938,16.030000686645508,29.229999542236328,18.889999389648438,11.02114486694336,36.560062408447266,1.20389776,106.4,114.09,7.588878771024411
2022-05-27,253.2100067138672,16.56999969482422,30.959999084472656,19.829999923706055,11.44955825805664,37.68363952636719,1.20389776,106.4,115.07,7.588878771024411
2022-05-31,252.75332641601562,17.389999389648438,31.399999618530273,20.18000030517578,11.491559028625488,37.791114807128906,1.20389776,106.4,114.67,7.588878771024411
2022-06-01,246.7899932861328,17.56999969482422,30.25,19.5,11.382354736328125,37.39053726196289,1.02509351,98.7,115.26,8.01045995451126
2022-06-02,258.3333435058594,18.850000381469727,31.940000534057617,19.959999084472656,11.667964935302734,37.976749420166016,1.02509351,98.7,116.87,8.01045995451126
2022-06-03,234.51666259765625,18.079999923706055,30.190000534057617,18.670000076293945,11.340353965759277,36.745704650878906,1.02509351,98.7,118.87,8.01045995451126
2022-06-06,238.27999877929688,19.18000030517578,28.979999542236328,19.149999618530273,11.306753158569336,36.96064758300781,1.02509351,98.7,118.5,8.01045995451126
2022-06-07,238.8866729736328,19.649999618530273,29.719999313354492,18.959999084472656,11.541959762573242,37.48823547363281,1.02509351,98.7,119.41,8.01045995451126
2022-06-08,241.86666870117188,20.3799991607666,29.799999237060547,19.59000015258789,11.365554809570312,36.8238639831543,1.02509351,98.7,122.11,8.01045995451126
2022-06-09,239.7066650390625,18.81999969482422,28.8700008392334,18.8799991607666,11.155549049377441,35.807762145996094,1.02509351,98.7,121.51,8.01045995451126
2022-06-10,232.22999572753906,18.139999389648438,28.360000610351562,18.020000457763672,10.710333824157715,34.20545196533203,1.02509351,98.7,120.67,8.01045995451126
2022-06-13,215.73666381835938,15.989999771118164,26.809999465942383,16.309999465942383,9.920709609985352,31.538188934326172,1.02509351,98.7,120.93,8.01045995451126
2022-06-14,220.88999938964844,18.65999984741211,27.299999237060547,16.600000381469727,10.248319625854492,32.437042236328125,1.02509351,98.7,118.93,8.01045995451126
2022-06-15,233.0,20.110000610351562,29.079999923706055,17.520000457763672,10.307122230529785,33.39453125,1.02509351,98.7,115.31,8.01045995451126
2022-06-16,213.10000610351562,19.18000030517578,26.420000076293945,15.550000190734863,9.450294494628906,30.697954177856445,1.02509351,98.7,117.122,8.01045995451126
2022-06-17,216.75999450683594,20.770000457763672,26.239999771118164,16.6299991607666,9.433493614196777,31.147382736206055,1.02509351,98.7,108.932,8.01045995451126
2022-06-21,237.0366668701172,22.65999984741211,29.06999969482422,17.899999618530273,9.626701354980469,31.889917373657227,1.02509351,98.7,109.746,8.01045995451126
2022-06-22,236.086669921875,22.549999237060547,28.559999465942383,18.030000686645508,9.643499374389648,32.07555389404297,1.02509351,98.7,106.19,8.01045995451126
2022-06-23,235.07000732421875,23.049999237060547,29.469999313354492,19.299999237060547,9.71070384979248,32.231876373291016,1.02509351,98.7,104.27,8.01045995451126
2022-06-24,245.7066650390625,24.079999923706055,29.5,19.209999084472656,10.088715553283691,34.01980972290039,1.02509351,98.7,107.62,8.01045995451126
2022-06-27,244.9199981689453,22.950000762939453,28.440000534057617,18.389999389648438,10.113916397094727,33.83418655395508,1.02509351,98.7,106.3706,8.01045995451126
2022-06-28,232.663330078125,22.360000610351562,26.989999771118164,17.940000534057617,9.920709609985352,33.208900451660156,1.02509351,98.7,110.0287,8.01045995451126
2022-06-29,228.49000549316406,21.860000610351562,26.270000457763672,17.299999237060547,9.677103042602539,32.68130111694336,1.02509351,98.7,111.8361,8.01045995451126
2022-06-30,224.47332763671875,21.719999313354492,25.739999771118164,17.15999984741211,9.349493026733398,31.030139923095703,1.02509351,98.7,109.5467,8.01045995451126
2022-07-01,227.26333618164062,21.360000610351562,25.700000762939453,17.0,9.5090970993042,31.45025634765625,1.06217493,95.7,105.9726,5.988326180119151
2022-07-05,233.06666564941406,22.18000030517578,26.860000610351562,17.229999542236328,9.408293724060059,31.626123428344727,1.06217493,95.7,110.3528,5.988326180119151
2022-07-06,231.73333740234375,20.829999923706055,29.65999984741211,18.219999313354492,9.290690422058105,30.551401138305664,1.06217493,95.7,101.0279,5.988326180119151
2022-07-07,244.5433349609375,22.5,31.6299991607666,19.809999465942383,9.786306381225586,31.90945816040039,1.06217493,95.7,98.2402,5.988326180119151
2022-07-08,250.76333618164062,22.600000381469727,31.989999771118164,19.989999771118164,9.761106491088867,31.5674991607666,1.06217493,95.7,102.4885,5.988326180119151
2022-07-11,234.3433380126953,20.56999969482422,29.93000030517578,18.530000686645508,9.483896255493164,30.16059112548828,1.06217493,95.7,104.4933,5.988326180119151
2022-07-12,233.07000732421875,20.8700008392334,30.149999618530273,19.329999923706055,9.71070384979248,30.80542755126953,1.06217493,95.7,103.0596,5.988326180119151
2022-07-13,237.0399932861328,21.09000015258789,30.760000228881836,19.510000228881836,9.668702125549316,30.991056442260742,1.06217493,95.7,94.5368,5.988326180119151
2022-07-14,238.31333923339844,21.049999237060547,30.829999923706055,20.110000610351562,9.567899703979492,30.864044189453125,1.06217493,95.7,95.587,5.988326180119151
2022-07-15,240.06666564941406,20.719999313354492,31.600000381469727,19.68000030517578,9.979512214660645,32.1146240234375,1.06217493,95.7,96.4966,5.988326180119151
2022-07-18,240.54666137695312,20.84000015258789,31.799999237060547,19.959999084472656,10.046713829040527,31.870372772216797,1.06217493,95.7,97.2274,5.988326180119151
2022-07-19,245.52999877929688,20.200000762939453,31.709999084472656,20.3799991607666,10.575929641723633,33.609466552734375,1.06217493,95.7,104.22,5.988326180119151
2022-07-20,247.5,20.3700008392334,32.7400016784668,21.270000457763672,10.693533897399902,33.9611930847168,1.06217493,95.7,102.26,5.988326180119151
2022-07-21,271.7066650390625,20.68000030517578,34.130001068115234,21.479999542236328,10.920341491699219,34.32269287109375,1.06217493,95.7,96.24,5.988326180119151
2022-07-22,272.24334716796875,19.239999771118164,32.47999954223633,19.68000030517578,10.769136428833008,33.87326431274414,1.06217493,95.7,94.7,5.988326180119151
2022-07-25,268.4333190917969,19.329999923706055,32.16999816894531,18.739999771118164,10.785937309265137,33.72671127319336,1.06217493,95.7,96.16,5.988326180119151
2022-07-26,258.8599853515625,19.040000915527344,31.690000534057617,18.09000015258789,10.533929824829102,32.57382583618164,1.06217493,95.7,95.69,5.988326180119151
2022-07-27,274.82000732421875,19.3799991607666,32.0099983215332,18.43000030517578,11.07994556427002,33.883026123046875,1.06217493,95.7,98.07,5.988326180119151
2022-07-28,280.8999938964844,19.489999771118164,33.845001220703125,18.239999771118164,11.760367393493652,34.918678283691406,1.06217493,95.7,97.4,5.988326180119151
2022-07-29,297.1499938964844,19.729999542236328,34.29999923706055,18.25,12.339985847473145,35.42672348022461,1.06217493,95.7,98.62,5.988326180119151
2022-08-01,297.27667236328125,20.18000030517578,34.810001373291016,18.530000686645508,12.886002540588379,35.92500686645508,0.8556253,103.2,93.74,8.04803616793306
2022-08-02,300.586669921875,20.18000030517578,35.0099983215332,19.729999542236328,12.734797477722168,35.29971694946289,0.8556253,103.2,93.9,8.04803616793306
2022-08-03,307.39666748046875,20.299999237060547,36.59000015258789,20.559999465942383,13.180013656616211,36.45260238647461,0.8556253,103.2,91.16,8.04803616793306
2022-08-04,308.6333312988281,20.899999618530273,36.18000030517578,18.559999465942383,12.911203384399414,35.39741134643555,0.8556253,103.2,87.87,8.04803616793306
2022-08-05,288.1700134277344,20.219999313354492,35.66999816894531,18.049999237060547,12.852401733398438,35.2313232421875,0.8556253,103.2,89.01,8.04803616793306
2022-08-08,290.42333984375,20.170000076293945,38.09000015258789,18.719999313354492,13.255613327026367,36.69684982299805,0.8556253,103.2,90.52,8.04803616793306
2022-08-09,283.3333435058594,19.170000076293945,36.70000076293945,17.459999084472656,12.759997367858887,35.7784538269043,0.8556253,103.2,90.49,8.04803616793306
2022-08-10,294.3566589355469,20.049999237060547,37.400001525878906,18.219999313354492,13.150264739990234,37.0778923034668,0.8556253,103.2,91.48,8.04803616793306
2022-08-11,286.6300048828125,20.81999969482422,38.95000076293945,18.09000015258789,13.4302396774292,37.57616424560547,0.8556253,103.2,93.96,8.04803616793306
2022-08-12,300.0299987792969,21.110000610351562,38.900001525878906,18.65999984741211,13.727179527282715,38.57272720336914,0.8556253,103.2,92.45,8.04803616793306
2022-08-15,309.32000732421875,21.299999237060547,37.279998779296875,18.760000228881836,13.845956802368164,38.49456787109375,0.8556253,103.2,92.45,8.04803616793306
